date_time,1AA1_1,1AA1_2,1AA1_3,1AA1_4,1AA1_5,1AA2_1,1AA2_2,1AA3_1,1AA3_2,1AA4_1,1AA5_1,1AA6_1,1AA7_1,2AA1_1,2AA2_1,2AA3_1,2AA4_1,2AA4_2,2AA5_1,2AA5_2,2AA5_3,2AA5_4,2AA5_5,2AA5_6,2AA5_7,2AA6_1,2AA7_1,2AA7_2,2AA8_1,2AA8_2,2AA8_3,2AA8_4,2AA8_5,2AA8_6,2AA8_7,2AA9_1,2AA9_2,2AA9_3,2AA9_4,2AA9_5,2AA9_6,2AA9_7
2019-01-02T02:00:00,0,0,0,0,0,2841.36,2577561,1662834,84995.04,0.36,0.12,10,4324724,5818341,0,2.88,135941.28,0,307421.31,784351.69,63654.44,709639.62,0,0,1110.64,3847638.5,578884,8193.92,0,1712.24,36702.87,1207350.12,389830.91,587826.5,45391.42,684112.88,23234.72,60783.63,221612.02,0,0.01,798.98
2019-01-02T03:00:00,0,0,0,0,0,2842.08,2577624.5,1662874,84995.04,0.36,0.12,10,4324829,5818493,0,2.88,135943.05,0,307442.31,784373.19,63654.64,709669.19,0,0,1110.64,3847717.25,578902.25,8193.92,0,1712.24,36703.32,1207364.5,389838,587843.5,45391.42,684112.88,23234.96,60783.87,221616.5,0,0.01,798.98
2019-01-02T04:00:00,0,0,0,0,0,2842.8,2577687.75,1662914,84995.04,0.36,0.12,10,4324933.5,5818645.5,0,2.88,135944.95,0,307463.47,784394.94,63654.8,709698.88,0,0,1110.64,3847796,578920.62,8193.92,0,1712.28,36704.01,1207379,389845.03,587860.5,45391.42,684112.88,23235.2,60784.08,221621.05,0,0.01,798.98
2019-01-02T05:00:00,0,0,0,0,0,2843.52,2577751.5,1662954.38,84995.04,0.36,0.12,10,4325038.5,5818797,0,2.88,135946.72,0,307484.53,784416.62,63654.96,709728.5,0,0,1110.64,3847874,578938.75,8193.92,0,1712.28,36704.67,1207393.12,389852.03,587877.44,45391.42,684112.88,23235.46,60784.29,221625.58,0,0.01,798.98
2019-01-02T06:00:00,0,0,0,0,0,2844.24,2577814.75,1662994.38,84995.04,0.36,0.12,10,4325143.5,5818945.5,0,2.88,135948.64,0,307505.53,784438.38,63655.16,709758,0,0,1110.64,3847950.75,578955.81,8193.92,0,1712.32,36705.27,1207407,389859.03,587894.19,45391.42,684112.88,23235.7,60784.5,221630.12,0,0.01,798.98
2019-01-02T07:00:00,0,0,0,0,0,2844.96,2577878,1663035.25,84995.04,0.36,0.12,10,4325248.5,5819096.5,0,2.88,135950.56,0,307526.44,784460.31,63655.32,709787.62,0,0,1110.64,3848027.5,578972.94,8193.92,0,1712.32,36705.87,1207421,389866.16,587911.12,45391.42,684112.88,23235.96,60784.71,221634.64,0,0.01,798.98
2019-01-02T08:00:00,0,0,0,0,0,2845.68,2577941.25,1663076,84995.04,0.36,0.12,10,4325354,5819248,0,2.88,135952.48,0,307547.31,784482.38,63655.52,709816.94,0,0,1110.64,3848106,578990.38,8193.92,0,1712.32,36706.53,1207435.62,389873.28,587928,45391.42,684112.88,23236.2,60785.01,221639.16,0,0.01,798.98
2019-01-02T09:00:00,0,0,0,0,0,2846.4,2578004.75,1663120.38,84995.04,0.36,0.12,10,4325463,5819402.5,0,2.88,135954.72,0,307568.25,784505.06,63656.24,709847.19,0,0,1110.64,3848184.5,579008.19,8193.92,0,1712.36,36707.55,1207449.5,389880.44,587944.94,45391.42,684112.88,23236.46,60785.73,221643.69,0,0.01,798.98
2019-01-02T10:00:00,0,0,0,0,0,2847.12,2578068,1663174.75,84995.04,0.36,0.12,10,4325582.5,5819567.5,0,2.88,135957.12,0,307589.16,784527.69,63657.04,709879.75,0,0,1110.64,3848271.25,579029.62,8193.92,0,1712.36,36708.72,1207463.88,389890.25,587961.81,45391.42,684112.88,23236.82,60787.47,221648.16,0,0.01,798.98
2019-01-02T11:00:00,0,0,0,0,0,2847.84,2578131.25,1663232.75,84995.04,0.36,0.12,10,4325704,5819738,0,2.88,135959.36,0,307610.09,784550.25,63657.8,709912.38,0,0,1110.64,3848362,579054.75,8193.92,0,1712.4,36709.86,1207478.5,389899.88,587979.38,45391.42,684112.88,23237.16,60788.76,221652.72,0,0.01,798.98
