date_time,1A00_1,1A01_1,1A02_1,1A03_1,1A03_2,1A03_3,1A03_4,1A03_5,1A03_6,1A04_1,1A04_2,1A04_3,1A04_4,1A04_5,1A04_6,1A05_1,1A05_2,1A05_3,1A05_4,1A05_5,1A05_6,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A06_6,1A06_7,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A01_2,2A01_3,2A01_4,2A01_5,2A02_1,2A02_2,2A02_3,2A02_4,2A02_5,2A02_6,2A02_7,2A02_8,2A02_9,2A03_1,2A03_2,2A03_3,2A03_4,2A03_5,2A03_6,2A03_7,2A03_8,2A03_9,2A04_1,2A04_2,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A06_6,2A06_7,2A07_1,2A08_1
2019-01-02T01:00:00,3.5,5731138,1.2,627844,431324.03,415453.84,0,0,0,119123.8,113111.52,49277.43,96907.56,127242.32,0,144341.72,356534.69,198238.16,7374.08,8248.16,10.24,1548152.38,197303.92,182693.2,4024.08,0,0,0,231622.23,853881.69,0.04,0,0,0,0,6138.48,902.9,22187.19,0,1042073.69,21458.08,43849.02,46079.44,22252.08,5408.33,765905.12,964289.62,0,0,71777.34,417.77,0,16604.81,0,0,0,0,0,3043787,319.5,1150925.25,596851.81,345990.81,0,676677.44,672980.56,254377.86,54581.64,0,0.09,0,8.4,6739836
2019-01-02T02:00:00,3.5,5731231.5,1.2,627848.81,431330.53,415456.88,0,0,0,119125.7,113114.58,49278.24,96909.66,127243,0,144346.58,356552.94,198241.77,7374.24,8248.4,10.24,1548176.88,197304.64,182694,4024.08,0,0,0,231624.23,853896.75,0.04,0,0,0,0,6138.56,902.92,22187.33,0,1042100.56,21458.25,43849.42,46079.68,22252.56,5408.35,765920.5,964313.62,0,0,71778.75,417.77,0,16605.15,0,0,0,0,0,3043855.5,319.5,1150936.5,596862.25,345995.53,0,676686.81,672993.25,254380.69,54582.93,0,0.09,0,8.4,6739957.5
2019-01-02T03:00:00,3.5,5731324.5,1.2,627853.5,431336.94,415460,0,0,0,119127.3,113117.64,49279.08,96911.74,127243.68,0,144351.44,356571.06,198245.28,7374.48,8248.64,10.24,1548201.62,197305.44,182694.72,4024.08,0,0,0,231626.23,853911.62,0.04,0,0,0,0,6138.64,902.94,22187.5,0,1042126.19,21458.41,43849.68,46079.92,22253.02,5408.37,765935.81,964337.5,0,0,71780.19,417.77,0,16605.49,0,0,0,0,0,3043923.5,319.5,1150947.75,596872,346000.16,0,676695.75,673004.5,254383.44,54584.37,0,0.09,0,8.4,6740075
2019-01-02T04:00:00,3.5,5731417.5,1.2,627858.19,431343.38,415463.03,0,0,0,119129,113120.76,49279.89,96913.82,127244.32,0,144356.27,356589.19,198248.8,7374.64,8248.8,10.24,1548226.12,197306.23,182695.52,4024.08,0,0,0,231628.23,853926.56,0.04,0,0,0,0,6138.72,902.98,22187.65,0,1042152,21458.6,43850.1,46080.16,22253.5,5408.39,765951.19,964361.25,0,0,71781.66,417.77,0,16605.83,0,0,0,0,0,3043991.75,319.5,1150958.75,596881.69,346004.81,0,676704.5,673015.38,254386.38,54585.72,0,0.09,0,8.4,6740191.5
2019-01-02T05:00:00,3.5,5731510.5,1.2,627863,431349.72,415466.09,0,0,0,119130.5,113123.88,49280.7,96915.88,127245,0,144361.09,356607,198252.41,7374.88,8249.04,10.24,1548250.75,197307.05,182696.23,4024.08,0,0,0,231630.23,853941.5,0.04,0,0,0,0,6138.8,903,22187.77,0,1042177.62,21458.73,43850.36,46080.4,22253.98,5408.4,765966.56,964384.81,0,0,71783.16,417.77,0,16606.18,0,0,0,0,0,3044059.25,319.5,1150970,596891.38,346009.44,0,676713.19,673026.06,254389.2,54586.98,0,0.09,0,8.4,6740307.5
2019-01-02T06:00:00,3.5,5731603,1.2,627867.69,431356.19,415469.19,0,0,0,119132.2,113126.94,49281.54,96917.96,127245.68,0,144365.98,356624.88,198256,7375.04,8249.28,10.24,1548275.38,197307.77,182697.05,4024.08,0,0,0,231632.23,853956.25,0.04,0,0,0,0,6138.8,903.02,22187.91,0,1042203,21458.86,43850.6,46080.64,22254.46,5408.42,765981.94,964408.94,0,0,71784.63,417.77,0,16606.5,0,0,0,0,0,3044127.25,319.5,1150981.25,596900.88,346014.16,0,676721.94,673036.62,254392.02,54588.3,0,0.09,0,8.4,6740422.5
2019-01-02T07:00:00,3.5,5731696,1.2,627872.38,431362.75,415472.31,0,0,0,119133.8,113130,49282.32,96920.04,127246.32,0,144370.84,356642.81,198259.69,7375.28,8249.44,10.24,1548300,197308.56,182697.84,4024.08,0,0,0,231634.23,853971.25,0.04,0,0,0,0,6138.88,903.04,22188.15,0,1042228.5,21459.02,43850.92,46080.9,22254.94,5408.44,765997.25,964432.5,0,0,71786.16,417.77,0,16606.85,0,0,0,0,0,3044195.5,319.5,1150992.5,596910.81,346018.88,0,676730.94,673047.25,254394.84,54589.71,0,0.09,0,8.4,6740539.5
2019-01-02T08:00:00,3.5,5731793,1.2,627877.19,431369.34,415475.44,0,0,0,119135.4,113133.12,49283.16,96922.14,127247.08,0,144375.66,356660.75,198263.44,7375.44,8249.68,10.24,1548328.5,197309.36,182698.64,4024.08,0,0,0,231636.31,853986.25,0.04,0,0,0,0,6138.96,903.06,22188.39,0,1042254.31,21459.19,43851.52,46081.14,22255.44,5408.45,766012.56,964455.81,0,0,71787.69,417.77,0,16607.22,0,0,0,0,0,3044263.25,319.5,1151004.38,596920.94,346023.59,0,676741.12,673057.81,254397.66,54591.15,0,0.09,0,8.4,6740659
2019-01-02T09:00:00,3.5,5731909,1.2,627888.31,431375.94,415482.41,0,0,0,119137.4,113136.24,49284,96924.22,127247.92,0,144380.45,356678.62,198267.12,7375.6,8249.92,10.24,1548358.12,197310.16,182699.36,4024.08,0,0,0,231643.28,854003.38,0.04,0,0,0,0,6139.04,903.1,22188.69,0,1042279.81,21459.62,43852.18,46081.8,22255.92,5408.47,766028.31,964479.38,0,0,71789.22,417.77,0,16607.73,0,0,0,0,0,3044332.5,319.5,1151020.75,596931.62,346030.97,0,676752,673068.88,254400.78,54592.53,0,0.09,0,8.4,6740788
2019-01-02T10:00:00,3.5,5732031.5,1.2,627901.12,431384.47,415489.28,0,0,0,119139.6,113139.42,49285.02,96926.48,127248.8,0,144386.72,356696.59,198271.05,7375.84,8250.16,10.24,1548387.88,197310.95,182700.16,4024.08,0,0,0,231650.72,854020.56,0.04,0,0,0,0,6139.12,903.12,22189.49,0,1042307.69,21460.53,43853.34,46083.04,22256.42,5408.49,766044.5,964503.06,0,0,71790.75,417.77,0,16608.28,0,0,0,0,0,3044407,319.5,1151047.75,596945.69,346041.84,0,676766.88,673085.75,254409.66,54594.06,0,0.09,0,8.4,6740955.5
