date_time,1A01_1,1A02_1,1A03_1,1A04_1,1A04_2,1A04_3,1A05_1,1A05_2,1A05_3,1A05_4,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A02_1,2A03_1,2A04_1,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A07_1,2A07_2,2A08_1,2A08_2,2A08_3,2A08_4,2A08_5,2A08_6,2A08_7,2A08_8,2A08_9,2A09_1,2A09_2,2A09_3,2A09_4,2A09_5,2A09_6,2A09_7,2A09_8,2A09_9,2A10_1,2A10_2,2A10_3,2A10_4,2A10_5,2A10_6,2A10_7,2A10_8,2A10_9
2019-01-01T20:00:00,5715051.5,0,0,1412189.88,450788.72,98.94,829325.12,517734.88,389150.41,0,347427.78,389578.75,53276,0,0,145087.98,129900.86,229440.33,396381.59,0,0,0,0,6571211,1.35,0.3,1465380,969752.88,642867.75,268671.19,403990.81,359689.53,576241.25,375223.84,0,1549036,213.6,154.41,166.09,54452.71,69018.05,40118.6,55217.16,19767.78,0,0,18157.83,12700.47,23597.68,10135.45,11227.4,10931.72,8776.35,0,0,762.49,696.93,64260.44,79236.7,12906.94,4729.06,1037399.19,10808.34,5939.6
2019-01-01T21:00:00,5715110.5,0,0,1412209.5,450796,98.94,829339.38,517741.59,389155.19,0,347430.41,389578.75,53276,0,0,145089.2,129901.5,229440.39,396381.59,0,0,0,0,6571305.5,1.35,0.3,1465408.12,969768.12,642870.38,268674.62,403993.38,359691.09,576245.94,375231.03,0,1549064.75,213.6,154.41,166.09,54453.9,69019.41,40119.04,55217.68,19767.96,0,0,18158.13,12700.63,23598.25,10135.65,11227.45,10931.76,8776.35,0,0,762.5,696.94,64261.34,79237.52,12906.97,4729.12,1037420.81,10808.71,5939.78
2019-01-01T22:00:00,5715169.5,0,0,1412228.75,450803.22,98.94,829354.06,517748.16,389160,0,347433,389578.75,53276,0,0,145090.56,129902.04,229440.45,396381.59,0,0,0,0,6571395.5,1.35,0.3,1465435.25,969783.5,642873,268678.12,403995.75,359692.62,576250.62,375235.91,0,1549093.62,213.6,154.41,166.11,54455.1,69020.78,40119.4,55218.08,19768.11,0,0,18158.43,12700.79,23598.83,10135.8,11227.5,10931.8,8776.4,0,0,762.52,696.96,64262.34,79238.21,12907.01,4729.18,1037442,10809.09,5939.94
2019-01-01T23:00:00,5715227,0,0,1412248,450810.44,98.94,829367.69,517755.03,389164.16,0,347435.62,389578.75,53276,0,0,145092,129902.42,229440.48,396381.59,0,0,0,0,6571486,1.35,0.3,1465461.75,969798.62,642875.62,268681.41,403998.16,359694.16,576255.25,375241.19,0,1549122.38,213.6,154.42,166.11,54456.29,69022.14,40119.8,55218.44,19768.29,0,0,18158.7,12700.95,23599.49,10136,11227.5,10931.84,8776.4,0,0,762.54,696.97,64263.42,79238.89,12907.05,4729.24,1037463.38,10809.46,5940.11
2019-01-02T00:00:00,5715282.5,0,0,1412266,450817.16,98.94,829381.12,517761.75,389167.91,0,347438.41,389578.75,53276,0,0,145093.44,129902.76,229440.55,396381.59,0,0,0,0,6571572.5,1.35,0.3,1465486.88,969813.62,642878.25,268685.28,404000.62,359695.69,576257.44,375246.09,0,1549151.62,213.6,154.42,166.11,54457.48,69023.51,40120.24,55218.92,19768.59,0,0,18159,12701.11,23600.06,10136.2,11227.55,10931.88,8776.45,0,0,762.55,696.98,64264.5,79239.57,12907.09,4729.3,1037484.81,10809.84,5940.28
2019-01-02T01:00:00,5715334.5,0,0,1412283.75,450823.72,98.94,829393.62,517768.47,389170.16,0,347441.03,389578.75,53276,0,0,145094.88,129903.12,229440.59,396381.59,0,0,0,0,6571657,1.35,0.3,1465510.88,969828.62,642880.94,268689.06,404003.03,359697.25,576259.25,375251.44,0,1549180,213.6,154.42,166.11,54458.67,69024.87,40120.52,55219.32,19768.8,0,0,18159.3,12701.26,23600.63,10136.4,11227.6,10931.92,8776.5,0,0,762.57,697,64265.58,79240.25,12907.12,4729.37,1037506,10810.22,5940.45
2019-01-02T02:00:00,5715378,0,0,1412301.5,450830.31,98.94,829401.75,517771.19,389171.91,0,347443.69,389578.75,53276,0,0,145096.31,129903.48,229440.66,396381.59,0,0,0,0,6571738.5,1.35,0.3,1465532.62,969843.5,642883.56,268692.56,404005.38,359698.78,576261.12,375256.25,0,1549208.38,213.6,154.42,166.12,54459.86,69026.23,40120.84,55219.6,19768.95,0,0,18159.6,12701.4,23601.2,10136.55,11227.65,10931.92,8776.5,0,0,762.58,697.01,64266.66,79240.93,12907.16,4729.42,1037526.81,10810.59,5940.61
2019-01-02T03:00:00,5715421.5,0,0,1412318.5,450836.97,98.94,829409.94,517773.91,389173.69,0,347446.75,389578.75,53276,0,0,145097.77,129903.84,229440.69,396381.59,0,0,0,0,6571820.5,1.35,0.3,1465554.75,969858.38,642886.19,268696.12,404007.84,359700.31,576263.06,375260.62,0,1549236.75,213.6,154.43,166.12,54461.05,69027.59,40121.2,55220,19769.13,0,0,18159.87,12701.56,23601.82,10136.75,11227.65,10931.96,8776.55,0,0,762.6,697.03,64267.73,79241.61,12907.19,4729.49,1037548,10810.97,5940.78
2019-01-02T04:00:00,5715464.5,0,0,1412335.62,450843.47,98.94,829418.38,517776.62,389175.44,0,347449.38,389578.75,53276,0,0,145099.2,129904.18,229440.75,396381.59,0,0,0,0,6571901.5,1.35,0.3,1465576.62,969873.31,642888.81,268699.75,404010.25,359701.88,576264.88,375264.62,0,1549265.25,213.6,154.43,166.12,54462.23,69028.95,40121.48,55220.4,19769.28,0,0,18160.17,12701.71,23602.44,10136.95,11227.7,10932,8776.55,0,0,762.62,697.04,64268.8,79242.29,12907.23,4729.55,1037569.19,10811.34,5940.96
2019-01-02T05:00:00,5715508,0,0,1412352.75,450850.12,98.94,829427.06,517779.53,389177.19,0,347452.19,389578.75,53276,0,0,145100.64,129904.54,229440.81,396381.59,0,0,0,0,6571982,1.35,0.3,1465598.12,969888.31,642891.5,268703.12,404012.56,359703.41,576266.75,375268.97,0,1549293.25,213.6,154.43,166.12,54463.42,69030.31,40121.76,55220.68,19769.43,0,0,18160.47,12701.87,23603.01,10137.1,11227.75,10932.04,8776.6,0,0,762.63,697.05,64269.87,79242.96,12907.27,4729.61,1037590,10811.71,5941.12
